state,country,shape,latitude,longitude 
pa,us,fireball,41.2788889,-75.8786111
ny,us,circle,43.0830556,-73.785
pa,us,diamond,41.2052778,-76.0052778
nm,us,fireball,32.3122222,-106.7777778
wa,us,triangle,47.3525,-121.9825
pa,us,diamond,40.155,-74.8291667
az,us,sphere,33.4483333,-112.0733333
il,us,circle,41.6572222,-87.68
mi,us,chevron,43.4194444,-83.9508333
on,ca,cylinder,43.25,-79.833333
ia,us,circle,41.7297222,-93.6055556
fl,us,light,26.8230556,-80.1388889
on,ca,circle,43.866667,-79.033333
mi,us,fireball,42.2916667,-85.5872222
ks,us,unknown,38.9716667,-95.235
oh,,fireball,39.103118,-84.51202
vt,us,light,44.4905556,-73.1113889
oh,us,circle,39.1619444,-84.4569444
oh,us,fireball,39.1619444,-84.4569444
fl,us,light,26.1416667,-81.795
ga,,light,32.543889,-83.596111
oh,us,fireball,39.1619444,-84.4569444
ky,us,fireball,38.9458333,-84.6805556
ma,us,fireball,42.4736111,-72.0066667
ga,us,light,33.5966667,-83.8602778
oh,us,sphere,39.7463889,-84.2866667
ny,us,chevron,43.0297222,-76.0047222
fl,us,light,26.9338889,-80.0944444
fl,us,sphere,28.0833333,-80.6083333
wi,us,sphere,45.3561111,-92.6333333
il,us,formation,41.88,-88.0077778
on,ca,light,45.583333,-72
oh,us,fireball,40.8758333,-81.4025
mi,us,fireball,42.4566667,-83.9463889
ky,us,disk,37.4791667,-82.5188889
,,disk,33.590355,130.401716
mo,us,disk,39.0997222,-94.5783333
wv,us,circle,38.7230556,-80.65
ca,,circle,38.007059,-119.012259
nh,us,rectangle,43.3652778,-72.1738889
ak,us,unknown,61.9919444,-146.7686111
nj,us,disk,40.9166667,-74.1722222
ak,,,70.292489,-161.903334
il,us,unknown,39.7338889,-90.2288889
oh,us,sphere,41.6638889,-83.5552778
ok,us,disk,36.1538889,-95.9925
tn,us,disk,36.1658333,-86.7844444
nc,us,triangle,36.0688889,-79.4008333
ms,us,other,30.3958333,-88.8852778
va,us,sphere,37.2438889,-77.4105556
pa,us,disk,41.5241667,-76.4011111
ab,ca,diamond,53.55,-113.5
ny,us,light,42.8863889,-78.8786111
wa,us,light,48.5127778,-122.6113889
ia,us,unknown,42.1083333,-91.285
or,us,disk,44.5647222,-123.2608333
ny,us,sphere,42.5680556,-78.4791667
il,us,circle,38.8922222,-89.4130556
bc,,sphere,56.031639,-121.905722
mn,us,disk,44.98,-93.2636111
ma,us,cigar,42.3583333,-71.0602778
me,us,circle,43.3616667,-70.4772222
ca,us,oval,37.775,-122.4183333
,,light,14.058324,108.277199
on,ca,sphere,44.233333,-76.483333
ny,us,disk,40.7141667,-74.0063889
ar,us,other,36.3727778,-94.2086111
nv,,oval,41.524898,-119.05102
fl,us,other,27.9472222,-82.4586111
ny,us,disk,40.7141667,-74.0063889
,,light,-33.137551,81.826172
ca,us,disk,34.1477778,-118.1436111
ks,us,unknown,37.9388889,-97.0194444
tx,us,unknown,33.2147222,-97.1327778
tx,us,disk,31.6261111,-97.5997222
wa,us,rectangle,47.8555556,-121.9697222
sc,,chevron,35.002778,-82.652778
in,us,sphere,39.7927778,-87.3708333
va,us,disk,36.8527778,-75.9783333
in,us,light,39.1652778,-86.5263889
mn,,triangle,45.012466,-92.991883
or,us,cylinder,43.2166667,-123.3405556
nv,us,disk,36.9086111,-116.7583333
tn,us,oval,35.1405556,-85.2327778
oh,us,disk,41.2377778,-81.9316667
tx,us,unknown,33.2147222,-97.1327778
wv,us,sphere,40.4188889,-80.5897222
,,changing,39.92077,32.85411
mn,us,unknown,46.4736111,-93.8986111
nj,us,light,40.7841667,-74.6972222
mi,,triangle,44.314844,-85.602364
az,us,changing,33.0580556,-112.0469444
oh,us,disk,40.9636111,-81.3313889
ny,us,disk,43.0986111,-77.4422222
fl,us,disk,28.0611111,-82.3025
ca,,light,38.161861,-121.611621
ca,us,other,33.7091667,-117.9527778
ca,us,other,40.5763889,-124.2627778
nc,us,cone,35.9983333,-76.9463889
la,us,disk,31.0944444,-92.4002778
in,us,cylinder,40.9852778,-86.8794444
ca,us,disk,33.7922222,-118.3141667
md,us,rectangle,39.2402778,-76.8397222
ny,us,light,42.8863889,-78.8786111
wa,us,disk,47.0380556,-122.8994444
pa,us,disk,40.4405556,-79.9961111
nj,us,light,40.3161111,-74.5141667
ca,us,other,37.5483333,-121.9875
al,us,fireball,34.1469444,-86.1305556
pa,us,formation,40.2977778,-77.8744444
nj,us,cigar,40.7280556,-74.0780556
mi,us,oval,43.5688889,-86.0394444
ky,,disk,38.056468,-83.943256
mi,us,fireball,42.9572222,-83.8305556
,gb,sphere,52.466667,-1.916667
ma,us,unknown,42.5611111,-71.5902778
pa,,oval,40.256648,-79.818468
nc,us,disk,35.8966667,-77.5361111
or,us,light,44.4269444,-124.0675
