"country","datetime","count"
"ca","1/21/2008",1
"ca","1/21/2013",1
"ca","1/22/2011",1
"ca","1/22/2014",1
"ca","1/23/2009",1
"ca","1/23/2013",1
"ca","1/24/2007",1
"ca","1/24/2009",1
"ca","1/25/2005",1
"ca","1/25/2010",1
"ca","1/25/2014",1
"ca","1/26/2009",1
"ca","1/27/2007",1
"ca","1/27/2008",1
"ca","1/27/2012",1
"ca","1/27/2014",1
"ca","1/28/2005",1
"ca","1/28/2009",1
"ca","1/29/2010",1
"ca","1/29/2014",1
"ca","1/30/2005",1
"ca","1/30/2010",1
"ca","1/30/2014",1
"ca","1/31/2009",1
"ca","1/31/2014",1
"ca","10/01/2005",1
"ca","10/01/2007",2
"ca","10/01/2008",1
"ca","10/01/2010",1
"ca","10/01/2011",1
"ca","10/01/2012",1
"ca","10/02/2005",1
"ca","10/03/2009",1
"ca","10/03/2010",1
"ca","10/03/2011",1
"ca","10/03/2013",1
"ca","10/04/2008",1
"ca","10/04/2012",1
"ca","10/05/2011",1
"ca","10/05/2013",2
"ca","10/06/2011",2
"ca","10/06/2012",3
"ca","10/07/2005",1
"ca","10/07/2009",1
"ca","10/07/2012",2
"ca","10/07/2013",1
"ca","10/08/2005",1
"ca","10/08/2011",1
"ca","10/08/2012",1
"ca","10/08/2013",2
"ca","10/09/2010",1
"ca","10/09/2011",1
"ca","10/09/2012",1
"ca","10/10/2008",1
"ca","10/10/2011",1
"ca","10/10/2013",2
"ca","10/11/2009",1
"ca","10/11/2013",3
"ca","10/12/2005",1
"ca","10/12/2006",2
"ca","10/12/2012",1
"ca","10/12/2013",2
"ca","10/13/2007",1
"ca","10/13/2009",1
"ca","10/13/2012",1
"ca","10/13/2013",2
"ca","10/14/2010",1
"ca","10/14/2013",3
"ca","10/15/2005",1
"ca","10/15/2006",1
"ca","10/15/2013",1
"ca","10/16/2005",1
"ca","10/17/2013",1
"ca","10/18/2012",1
"ca","10/18/2013",2
"ca","10/19/2009",1
"ca","10/19/2013",2
"ca","10/20/2005",1
"ca","10/20/2006",1
"ca","10/20/2007",1
"ca","10/20/2011",1
"ca","10/20/2012",1
"ca","10/22/2012",2
"ca","10/23/2008",1
"ca","10/23/2009",1
"ca","10/23/2010",1
"ca","10/23/2011",1
"ca","10/24/2008",1
"ca","10/24/2012",1
"ca","10/24/2013",1
"ca","10/25/2007",2
"ca","10/25/2009",1
"ca","10/25/2010",1
"ca","10/25/2011",1
"ca","10/25/2012",1
"ca","10/26/2007",1
"ca","10/26/2013",2
"ca","10/27/2007",1
"ca","10/27/2011",1
"ca","10/27/2013",2
"ca","10/28/2006",1
"ca","10/28/2010",1
"ca","10/28/2013",2
"ca","10/30/2013",1
"ca","10/31/2005",1
"ca","10/31/2006",1
"ca","11/01/2006",1
"ca","11/01/2007",1
"ca","11/01/2010",1
"ca","11/01/2011",1
"ca","11/02/2005",3
"ca","11/02/2006",2
"ca","11/02/2007",1
"ca","11/03/2005",1
"ca","11/03/2012",1
"ca","11/04/2007",1
"ca","11/04/2012",1
"ca","11/05/2012",2
"ca","11/05/2013",1
"ca","11/06/2005",1
"ca","11/06/2010",1
"ca","11/06/2011",1
"ca","11/07/2008",1
"ca","11/07/2010",1
"ca","11/07/2012",2
"ca","11/08/2005",1
"ca","11/08/2012",1
"ca","11/09/2009",1
"ca","11/09/2012",1
"ca","11/10/2007",1
"ca","11/10/2009",1
"ca","11/10/2012",2
"ca","11/10/2013",1
"ca","11/11/2005",2
"ca","11/11/2006",1
"ca","11/11/2010",1
"ca","11/11/2012",2
"ca","11/11/2013",2
"ca","11/12/2012",2
"ca","11/13/2009",2
"ca","11/13/2011",1
"ca","11/13/2013",1
"ca","11/14/2006",1
"ca","11/14/2008",1
"ca","11/14/2010",1
"ca","11/14/2012",1
"ca","11/14/2013",2
"ca","11/15/2005",1
"ca","11/15/2009",1
"ca","11/15/2010",1
"ca","11/15/2011",1
"ca","11/15/2012",1
"ca","11/16/2012",2
"ca","11/17/2009",1
"ca","11/17/2012",2
"ca","11/17/2013",1
"ca","11/18/2007",2
"ca","11/18/2011",1
"ca","11/18/2013",1
"ca","11/19/2005",1
"ca","11/19/2009",1
"ca","11/19/2013",1
"ca","11/20/2005",1
"ca","11/20/2009",1
"ca","11/21/2005",2
"ca","11/21/2008",1
"ca","11/21/2011",1
"ca","11/21/2012",1
"ca","11/22/2005",2
"ca","11/22/2009",1
"ca","11/22/2012",2
"ca","11/22/2013",1
"ca","11/23/2005",1
"ca","11/23/2006",1
"ca","11/23/2011",1
"ca","11/24/2006",1
"ca","11/25/2008",1
"ca","11/25/2013",1
"ca","11/28/2008",1
"ca","11/28/2012",1
"ca","11/28/2013",2
"ca","11/29/2005",1
"ca","11/29/2008",1
"ca","11/30/2010",1
"ca","11/30/2011",1
"ca","11/30/2013",1
"ca","12/01/2005",1
"ca","12/01/2013",1
"ca","12/02/2011",1
"ca","12/03/2008",1
"ca","12/05/2005",1
"ca","12/05/2006",1
"ca","12/05/2012",2
"ca","12/06/2006",1
"ca","12/07/2007",1
"ca","12/07/2013",1
"ca","12/08/2005",1
"ca","12/08/2010",2
"ca","12/09/2006",1
"ca","12/09/2009",1
"ca","12/10/2013",1
"ca","12/11/2009",1
"ca","12/12/2005",1
"ca","12/12/2007",1
"ca","12/12/2012",1
"ca","12/12/2013",1
"ca","12/13/2005",2
"ca","12/13/2006",1
"ca","12/14/2012",2
"ca","12/15/2007",1
"ca","12/15/2011",1
"ca","12/16/2006",2
"ca","12/16/2013",2
"ca","12/17/2009",1
"ca","12/17/2013",1
"ca","12/19/2005",1
"ca","12/20/2005",1
"ca","12/20/2006",1
