datetime,latitude,longitude 
2/21/2005,35.1083333,-77.0444444
2/21/2005,32.8341667,-97.2286111
2/21/2005,-23.651508,-46.852186
2/21/2005,44.0522222,-123.0855556
2/22/2005,52.132633,5.291266
2/22/2005,31.8541667,-110.9930556
2/22/2005,42.2711111,-89.0938889
2/22/2005,33.145405,-96.839054
2/22/2005,48.6108333,-118.0547222
2/22/2005,49.15,-123.916667
2/22/2005,48.0841667,-121.9675
2/22/2005,44.0522222,-123.0855556
2/22/2005,43.2380556,-76.1411111
2/22/2005,41.9486111,-71.0736111
2/23/2005,34.8833333,-82.7075
2/23/2005,37.6391667,-120.9958333
2/23/2005,39.6836111,-75.75
2/23/2005,42.8666667,-106.3125
2/23/2005,26.6402778,-81.8725
2/23/2005,26.7080556,-80.2308333
2/23/2005,42.8352778,-89.0675
2/23/2005,40.164579,-74.208267
2/23/2005,28.8038889,-81.7258333
2/23/2005,33.4052778,-86.8113889
2/23/2005,48.7597222,-122.4869444
2/23/2005,40.6866667,-84.1377778
2/23/2005,47.7558333,-122.3402778
2/23/2005,47.2033333,-122.2391667
2/23/2005,37.3769444,-77.5061111
2/24/2005,40.7536111,-86.0688889
2/24/2005,38.9569444,-76.5502778
2/24/2005,33.1433333,-117.1652778
2/24/2005,34.4480556,-119.2419444
2/24/2005,43.866667,-78.933333
2/24/2005,35.4372222,-93.6727778
2/24/2005,35.4372222,-93.6727778
2/24/2005,35.4372222,-93.6727778
2/24/2005,47.6105556,-122.1994444
2/24/2005,47.2530556,-122.4430556
2/24/2005,31.8541667,-110.9930556
2/24/2005,41.0580556,-74.7530556
2/24/2005,40.3547222,-110.7127778
2/25/2005,47.1794444,-113.4836111
2/25/2005,42.8688889,-76.9780556
2/25/2005,44.0805556,-103.2305556
2/25/2005,32.751221,-117.184591
2/25/2005,38.8186111,-81.7108333
2/25/2005,30.3958333,-88.8852778
2/25/2005,39.4666667,-87.4138889
2/25/2005,40.6386111,-73.6405556
2/25/2005,39.6411111,-85.1411111
2/25/2005,46.815,-101.8294444
2/26/2005,35.8422222,-90.7041667
2/26/2005,35.6225,-117.67
2/26/2005,64.8472222,-148.0144444
2/26/2005,39.2513889,-119.9719444
2/26/2005,40.8,-96.6666667
2/26/2005,38.80261,-116.419389
2/26/2005,45.4463889,-122.6380556
2/26/2005,38.322655,-89.763171
2/26/2005,40.7241667,-73.7155556
2/26/2005,51.513001,-1.732646
2/27/2005,39.5297222,-119.8127778
2/27/2005,40.7141667,-74.0063889
2/27/2005,43.2722222,-75.1902778
2/27/2005,37.9886111,-84.4777778
2/27/2005,39.650999,-104.893068
2/27/2005,33.7069444,-117.0836111
2/27/2005,34.5794444,-118.1155556
2/27/2005,43.6136111,-116.2025
2/27/2005,47.6063889,-122.3308333
2/27/2005,32.8438889,-97.1427778
2/28/2005,38.6533333,-94.3486111
2/28/2005,45.3247222,-118.0866667
2/28/2005,35.8680556,-83.5619444
2/28/2005,26.6583333,-80.2416667
3/1/2005,51.083333,-114.083333
3/1/2005,33.567558,-117.831232
3/1/2005,-36.84846,174.763332
3/1/2005,13.052414,80.250825
3/1/2005,29.6483333,-81.6377778
3/1/2005,31.7586111,-106.4863889
